Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

P2         2x2_header_SMD         385mil        570mil        385mil        570mil    446.146mil    468.446mil  T         56.00 2 x 2 header SMD
FB2        0402                  -110mil        550mil       -110mil        550mil       -110mil    567.716mil  B        270.00 Ferrite Bead   
J2         SFM-105-02-L-S    -632.026mil   -203.071mil       -640mil       -215mil   -636.448mil   -108.294mil  B        288.60 Samtec connector
J3         SFM-105-02-L-S     647.974mil    226.929mil        640mil        215mil    643.552mil    321.706mil  B        288.60 Samtec connector
J4         SFM-105-02-L-S    -647.974mil    -226.93mil       -640mil       -215mil   -707.344mil   -132.153mil  T        288.60 Samtec connector
J5         SFM-105-02-L-S     647.974mil    226.929mil        640mil        215mil    707.344mil    132.153mil  T        108.60 Samtec connector
L1         SLF10145               -60mil        405mil        -60mil        405mil     99.449mil        405mil  T        180.00 L_22uH_SLF10145
L2         0402               596.835mil   -101.779mil    596.835mil   -101.779mil    579.118mil   -101.779mil  T        360.00 Chip inductor  
L3         0603               611.835mil    -51.779mil    611.835mil    -51.779mil    641.362mil    -51.779mil  T        180.00 Chip inductor  
P1         1x3_header            -670mil        170mil       -670mil        170mil       -670mil         70mil  T         90.00 1 x 3 header   
R1         0402                  -270mil       -300mil       -270mil       -300mil   -252.284mil       -300mil  B        180.00 Chip resistor  
R2         0402                  -305mil       -260mil       -305mil       -260mil   -287.284mil       -260mil  B        180.00 Chip resistor  
R3         0402                71.835mil   -346.779mil     71.835mil   -346.779mil     71.835mil   -329.063mil  T        270.00 Chip resistor  
R4         0402                   130mil        525mil        130mil        525mil    112.284mil        525mil  B        360.00 Chip resistor  
R5         0402                     0mil        540mil          0mil        540mil          0mil    522.284mil  B         90.00 Chip resistor  
R6         0402                  -185mil        245mil       -185mil        245mil   -167.284mil        245mil  B        180.00 Chip resistor  
R7         0402                   -40mil        540mil        -40mil        540mil        -40mil    522.284mil  B         90.00 Chip resistor  
R8         0402                     8mil        117mil          8mil        117mil          8mil    134.716mil  T        270.00 Chip resistor  
R9         0402                    52mil        117mil         52mil        117mil         52mil    134.716mil  T        270.00 Chip resistor  
R10        0402                  -293mil        108mil       -293mil        108mil       -293mil    125.716mil  T        270.00 Chip resistor  
R11        0402                  -251mil        108mil       -251mil        108mil       -251mil    125.716mil  T        270.00 Chip resistor  
R12        0402                   160mil       -440mil        160mil       -440mil    142.284mil       -440mil  B        360.00 Chip resistor  
R13        0402                   160mil       -395mil        160mil       -395mil    142.284mil       -395mil  B        360.00 Chip resistor  
R14        0402               145.189mil   -320.158mil    145.189mil   -320.158mil    145.189mil   -302.441mil  T        270.00 Chip resistor  
R15        0402                  -545mil        -30mil       -545mil        -30mil       -545mil    -12.283mil  B        270.00 Chip resistor  
R16        0402                  -500mil        -30mil       -500mil        -30mil       -500mil    -12.283mil  B        270.00 Chip resistor  
R17        0402                  -455mil        -30mil       -455mil        -30mil       -455mil    -12.283mil  B        270.00 Chip resistor  
R18        0402                  -410mil        -30mil       -410mil        -30mil       -410mil    -12.283mil  B        270.00 Chip resistor  
R19        0402                  -365mil        -30mil       -365mil        -30mil       -365mil    -12.283mil  B        270.00 Chip resistor  
R20        0402               294.118mil   -331.779mil    294.118mil   -331.779mil    276.402mil   -331.779mil  T        360.00 Chip resistor  
R21        0402               294.118mil   -376.779mil    294.118mil   -376.779mil    311.835mil   -376.779mil  T        180.00 Chip resistor  
R22        0402                   565mil       -270mil        565mil       -270mil        565mil   -252.284mil  T        270.00 Chip resistor  
R23        0402                  -305mil       -130mil       -305mil       -130mil       -305mil   -112.283mil  B        270.00 Chip resistor  
R24        0402                  -165mil       -655mil       -165mil       -655mil       -165mil   -672.717mil  B         90.00 Chip resistor  
U7         minimold-6         286.835mil   -541.779mil    286.835mil   -541.779mil    312.425mil   -500.441mil  T        270.00 uPG2214TB      
U1         QFN56              -68.165mil   -126.779mil    -68.165mil   -126.779mil     59.787mil     27.748mil  T        270.00 CC2538         
U2         MSE16(12)             -405mil        330mil       -405mil        330mil   -324.291mil    261.102mil  T        180.00 LTC3630        
U3         QFN-32                 -60mil        374mil        -60mil        374mil   -158.425mil    305.102mil  B        360.00 FT232RQ        
U4         QFN32              420.142mil   -175.087mil    420.142mil   -175.087mil    489.039mil    -79.614mil  T        270.00 nRF8001        
U5         SC-70-5_(DCK)          330mil       -460mil        330mil       -460mil    373.307mil   -434.409mil  B        270.00 SN74AUP1T14    
U6         WSON                  -350mil       -530mil       -350mil       -530mil   -178.729mil   -551.798mil  B        147.00 SST25VF064C    
Y1         ABS05                  145mil       -245mil        145mil       -245mil        145mil   -266.654mil  T         90.00 ABS05          
Y2         TSX-3225               580mil       -370mil        580mil       -370mil    623.307mil   -338.504mil  T        180.00 TSX-3225       
Y3         FA-128            -113.165mil   -401.779mil   -113.165mil   -401.779mil   -141.709mil   -424.417mil  T        360.00 FA-128         
Y4         RV4162                 162mil       -417mil        162mil       -417mil     215.15mil   -393.378mil  T        180.00 RV-4162-C7     
B2         2450BM15A0002      -28.165mil    -501.78mil    -28.165mil   -501.779mil     -0.606mil    -527.37mil  T        180.00 2450BM15A0002E 
ANT1       Chip_Antenna        17.315mil   -702.079mil         37mil       -707mil    118.693mil   -702.079mil  T        180.00 Ground Antenna 

