Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C20        0402                   160mil       -255mil        160mil       -255mil    177.716mil       -255mil  B        180.00 Ceramic capacitor
C19        0402                   447mil       -161mil        447mil       -161mil    429.284mil       -161mil  B        360.00 Ceramic capacitor
C18        0402                   365mil         50mil        365mil         50mil    347.284mil         50mil  T        360.00 Ceramic capacitor
C17        0402                  -135mil        -20mil       -135mil        -20mil   -152.716mil        -20mil  B        360.00 Ceramic capacitor
C16        0402                  -120mil       -330mil       -120mil       -330mil   -137.716mil       -330mil  T        360.00 Ceramic capacitor
C15        0402                  -540mil       -255mil       -540mil       -255mil   -522.284mil       -255mil  B        180.00 Ceramic capacitor
C14        0402                  -225mil       -400mil       -225mil       -400mil       -225mil   -382.284mil  B        270.00 Ceramic capacitor
C13        0402                  -550mil        -10mil       -550mil        -10mil   -532.284mil        -10mil  B        180.00 Ceramic capacitor
C12        0402              -272.654mil   -400.654mil   -272.654mil   -400.654mil   -272.654mil   -382.937mil  B        270.00 Ceramic capacitor
C11        0402                  -445mil         45mil       -445mil         45mil   -427.284mil         45mil  B        180.00 Ceramic capacitor
C10        0402              -332.654mil   -400.654mil   -332.654mil   -400.654mil   -332.654mil   -382.937mil  B        270.00 Ceramic capacitor
C9         0402                  -415mil       -430mil       -415mil       -430mil       -415mil   -412.284mil  B        270.00 Ceramic capacitor
C8         0402                  -375mil       -400mil       -375mil       -400mil       -375mil   -382.284mil  B        270.00 Ceramic capacitor
C7         0402                  -125mil         -5mil       -125mil         -5mil   -142.716mil         -5mil  T        360.00 Ceramic capacitor
C6         0603                   322mil        254mil        322mil        254mil        322mil    283.528mil  T        270.00 Ceramic capacitor
C5         0603                   577mil        384mil        577mil        384mil    547.472mil        384mil  T        360.00 Ceramic capacitor
C3         0603                   237mil        489mil        237mil        489mil    266.528mil        489mil  T        180.00 Ceramic capacitor
C2         0603                   296mil        691mil        296mil        691mil    266.472mil        691mil  T        360.00 Ceramic capacitor
C1         0603                   547mil        259mil        547mil        259mil        547mil    288.528mil  T        270.00 Ceramic capacitor
B2         2450BM15A0002     -302.654mil   -419.654mil   -302.654mil   -419.654mil   -275.094mil   -445.244mil  T        180.00 2450BM15A0002E 
ANT1       Chip_Antenna         1.315mil   -711.079mil         21mil       -716mil    102.693mil   -711.079mil  T        180.00 Ground Antenna 
C26        0402                    77mil        634mil         77mil        634mil         77mil    616.284mil  B         90.00 Ceramic capacitor
R2         0402                    32mil        614mil         32mil        614mil         32mil    596.284mil  B         90.00 Chip resistor  
R4         0402                   -13mil        614mil        -13mil        614mil        -13mil    596.284mil  B         90.00 Chip resistor  
R5         0402                  -209mil    139.284mil       -209mil    139.284mil       -209mil        157mil  T        270.00 Chip resistor  
R6         0402                  -166mil    140.284mil       -166mil    140.284mil       -166mil        158mil  T        270.00 Chip resistor  

